Id,Label,timeset,type,trnsl_year,original_publ_year,genre,funding,gender,year,Degree,dynamic_degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber
Mircea Cartarescu,Mircea Cartarescu,"<[1996.0, Infinity]>",Author,NA,NA,NA,NA,Male,1996,5,"<[1990.0466, 1991.0466, 5]; [1991.0466, 1992.0466, 5]; [1992.0466, 1993.0466, 5]; [1993.0466, 1994.0466, 5]; [1994.0466, 1995.0466, 5]; [1995.0466, 1996.0466, 5]; [1996.0466, 1997.0466, 5]; [1997.0466, 1998.0466, 5]; [1998.0466, 1999.0466, 5]; [1999.0466, 2000.0466, 5]; [2000.0466, 2001.0466, 5]; [2001.0466, 2002.0466, 5]; [2002.0466, 2003.0466, 5]; [2003.0466, 2004.0466, 5]; [2004.0466, 2005.0466, 5]; [2005.0466, 2006.0466, 5]; [2006.0466, 2007.0466, 5]; [2007.0466, 2008.0466, 5]; [2008.0466, 2009.0466, 5]; [2009.0466, 2010.0466, 5]; [2010.0466, 2011.0466, 5]; [2011.0466, 2012.0466, 5]; [2012.0466, 2013.0466, 5]; [2013.0466, 2014.0466, 5]; [2014.0466, 2015.0466, 5]; [2015.0466, 2016.0466, 5]; [2016.0466, 2017.0466, 5]; [2017.0466, 2018.0466, 5]; [2018.0466, 2019.0466, 5]; [2019.0466, 2020.0466, 5]; [2020.0466, 2021.0466, 5]; [2021.0466, 2022.0466, 5]>",6,0.227743,0.273485,4.912078,4,0
De trofee,De trofee,"<[2012.0, Infinity]>",Book,2012,2002,Prose,Translation and Publication Support Programme,NA,2012,4,"<[1990.0466, 1991.0466, 4]; [1991.0466, 1992.0466, 4]; [1992.0466, 1993.0466, 4]; [1993.0466, 1994.0466, 4]; [1994.0466, 1995.0466, 4]; [1995.0466, 1996.0466, 4]; [1996.0466, 1997.0466, 4]; [1997.0466, 1998.0466, 4]; [1998.0466, 1999.0466, 4]; [1999.0466, 2000.0466, 4]; [2000.0466, 2001.0466, 4]; [2001.0466, 2002.0466, 4]; [2002.0466, 2003.0466, 4]; [2003.0466, 2004.0466, 4]; [2004.0466, 2005.0466, 4]; [2005.0466, 2006.0466, 4]; [2006.0466, 2007.0466, 4]; [2007.0466, 2008.0466, 4]; [2008.0466, 2009.0466, 4]; [2009.0466, 2010.0466, 4]; [2010.0466, 2011.0466, 4]; [2011.0466, 2012.0466, 4]; [2012.0466, 2013.0466, 4]; [2013.0466, 2014.0466, 4]; [2014.0466, 2015.0466, 4]; [2015.0466, 2016.0466, 4]; [2016.0466, 2017.0466, 4]; [2017.0466, 2018.0466, 4]; [2018.0466, 2019.0466, 4]; [2019.0466, 2020.0466, 4]; [2020.0466, 2021.0466, 4]; [2021.0466, 2022.0466, 4]>",5,0.282051,0.331364,54.131878,4,0
Het boek der fluisteringen,Het boek der fluisteringen,"<[2015.0, Infinity]>",Book,2015,2009,Prose,Translation and Publication Support Programme,NA,2015,4,"<[1990.0466, 1991.0466, 4]; [1991.0466, 1992.0466, 4]; [1992.0466, 1993.0466, 4]; [1993.0466, 1994.0466, 4]; [1994.0466, 1995.0466, 4]; [1995.0466, 1996.0466, 4]; [1996.0466, 1997.0466, 4]; [1997.0466, 1998.0466, 4]; [1998.0466, 1999.0466, 4]; [1999.0466, 2000.0466, 4]; [2000.0466, 2001.0466, 4]; [2001.0466, 2002.0466, 4]; [2002.0466, 2003.0466, 4]; [2003.0466, 2004.0466, 4]; [2004.0466, 2005.0466, 4]; [2005.0466, 2006.0466, 4]; [2006.0466, 2007.0466, 4]; [2007.0466, 2008.0466, 4]; [2008.0466, 2009.0466, 4]; [2009.0466, 2010.0466, 4]; [2010.0466, 2011.0466, 4]; [2011.0466, 2012.0466, 4]; [2012.0466, 2013.0466, 4]; [2013.0466, 2014.0466, 4]; [2014.0466, 2015.0466, 4]; [2015.0466, 2016.0466, 4]; [2016.0466, 2017.0466, 4]; [2017.0466, 2018.0466, 4]; [2018.0466, 2019.0466, 4]; [2019.0466, 2020.0466, 4]; [2020.0466, 2021.0466, 4]; [2021.0466, 2022.0466, 4]>",5,0.294118,0.344242,230.645093,5,0
Varujan Vosganian,Varujan Vosganian,"<[2015.0, Infinity]>",Author,NA,NA,NA,NA,Male,2015,2,"<[1990.0466, 1991.0466, 2]; [1991.0466, 1992.0466, 2]; [1992.0466, 1993.0466, 2]; [1993.0466, 1994.0466, 2]; [1994.0466, 1995.0466, 2]; [1995.0466, 1996.0466, 2]; [1996.0466, 1997.0466, 2]; [1997.0466, 1998.0466, 2]; [1998.0466, 1999.0466, 2]; [1999.0466, 2000.0466, 2]; [2000.0466, 2001.0466, 2]; [2001.0466, 2002.0466, 2]; [2002.0466, 2003.0466, 2]; [2003.0466, 2004.0466, 2]; [2004.0466, 2005.0466, 2]; [2005.0466, 2006.0466, 2]; [2006.0466, 2007.0466, 2]; [2007.0466, 2008.0466, 2]; [2008.0466, 2009.0466, 2]; [2009.0466, 2010.0466, 2]; [2010.0466, 2011.0466, 2]; [2011.0466, 2012.0466, 2]; [2012.0466, 2013.0466, 2]; [2013.0466, 2014.0466, 2]; [2014.0466, 2015.0466, 2]; [2015.0466, 2016.0466, 2]; [2016.0466, 2017.0466, 2]; [2017.0466, 2018.0466, 2]; [2018.0466, 2019.0466, 2]; [2019.0466, 2020.0466, 2]; [2020.0466, 2021.0466, 2]; [2021.0466, 2022.0466, 2]>",6,0.22869,0.257273,0.25,5,0
Het onmetelijke mausoleum,Het onmetelijke mausoleum,"<[2015.0, Infinity]>",Book,2015,2007,Prose,Translation and Publication Support Programme,NA,2015,4,"<[1990.0466, 1991.0466, 4]; [1991.0466, 1992.0466, 4]; [1992.0466, 1993.0466, 4]; [1993.0466, 1994.0466, 4]; [1994.0466, 1995.0466, 4]; [1995.0466, 1996.0466, 4]; [1996.0466, 1997.0466, 4]; [1997.0466, 1998.0466, 4]; [1998.0466, 1999.0466, 4]; [1999.0466, 2000.0466, 4]; [2000.0466, 2001.0466, 4]; [2001.0466, 2002.0466, 4]; [2002.0466, 2003.0466, 4]; [2003.0466, 2004.0466, 4]; [2004.0466, 2005.0466, 4]; [2005.0466, 2006.0466, 4]; [2006.0466, 2007.0466, 4]; [2007.0466, 2008.0466, 4]; [2008.0466, 2009.0466, 4]; [2009.0466, 2010.0466, 4]; [2010.0466, 2011.0466, 4]; [2011.0466, 2012.0466, 4]; [2012.0466, 2013.0466, 4]; [2013.0466, 2014.0466, 4]; [2014.0466, 2015.0466, 4]; [2015.0466, 2016.0466, 4]; [2016.0466, 2017.0466, 4]; [2017.0466, 2018.0466, 4]; [2018.0466, 2019.0466, 4]; [2019.0466, 2020.0466, 4]; [2020.0466, 2021.0466, 4]; [2021.0466, 2022.0466, 4]>",5,0.282051,0.331364,54.131878,4,0
Sinds tweeduizend jaar,Sinds tweeduizend jaar,"<[2017.0, Infinity]>",Book,2017,1934,Prose,Translation and Publication Support Programme,NA,2017,4,"<[1990.0466, 1991.0466, 4]; [1991.0466, 1992.0466, 4]; [1992.0466, 1993.0466, 4]; [1993.0466, 1994.0466, 4]; [1994.0466, 1995.0466, 4]; [1995.0466, 1996.0466, 4]; [1996.0466, 1997.0466, 4]; [1997.0466, 1998.0466, 4]; [1998.0466, 1999.0466, 4]; [1999.0466, 2000.0466, 4]; [2000.0466, 2001.0466, 4]; [2001.0466, 2002.0466, 4]; [2002.0466, 2003.0466, 4]; [2003.0466, 2004.0466, 4]; [2004.0466, 2005.0466, 4]; [2005.0466, 2006.0466, 4]; [2006.0466, 2007.0466, 4]; [2007.0466, 2008.0466, 4]; [2008.0466, 2009.0466, 4]; [2009.0466, 2010.0466, 4]; [2010.0466, 2011.0466, 4]; [2011.0466, 2012.0466, 4]; [2012.0466, 2013.0466, 4]; [2013.0466, 2014.0466, 4]; [2014.0466, 2015.0466, 4]; [2015.0466, 2016.0466, 4]; [2016.0466, 2017.0466, 4]; [2017.0466, 2018.0466, 4]; [2018.0466, 2019.0466, 4]; [2019.0466, 2020.0466, 4]; [2020.0466, 2021.0466, 4]; [2021.0466, 2022.0466, 4]>",5,0.284974,0.334848,157.189107,3,0
Mihail Sebastian,Mihail Sebastian,"<[2017.0, Infinity]>",Author,NA,NA,NA,NA,Male,2017,2,"<[1990.0466, 1991.0466, 2]; [1991.0466, 1992.0466, 2]; [1992.0466, 1993.0466, 2]; [1993.0466, 1994.0466, 2]; [1994.0466, 1995.0466, 2]; [1995.0466, 1996.0466, 2]; [1996.0466, 1997.0466, 2]; [1997.0466, 1998.0466, 2]; [1998.0466, 1999.0466, 2]; [1999.0466, 2000.0466, 2]; [2000.0466, 2001.0466, 2]; [2001.0466, 2002.0466, 2]; [2002.0466, 2003.0466, 2]; [2003.0466, 2004.0466, 2]; [2004.0466, 2005.0466, 2]; [2005.0466, 2006.0466, 2]; [2006.0466, 2007.0466, 2]; [2007.0466, 2008.0466, 2]; [2008.0466, 2009.0466, 2]; [2009.0466, 2010.0466, 2]; [2010.0466, 2011.0466, 2]; [2011.0466, 2012.0466, 2]; [2012.0466, 2013.0466, 2]; [2013.0466, 2014.0466, 2]; [2014.0466, 2015.0466, 2]; [2015.0466, 2016.0466, 2]; [2016.0466, 2017.0466, 2]; [2017.0466, 2018.0466, 2]; [2018.0466, 2019.0466, 2]; [2019.0466, 2020.0466, 2]; [2020.0466, 2021.0466, 2]; [2021.0466, 2022.0466, 2]>",6,0.278481,0.30197,29.235612,3,0
Voor de prijs van mijn mond. Hedendaagse poëzie uit Roemenië,Voor de prijs van mijn mond. Hedendaagse poëzie uit Roemenië,"<[2013.0, Infinity]>",Book,2013,NA,Poetry,Translation and Publication Support Programme,NA,2013,4,"<[1990.0466, 1991.0466, 2]; [1991.0466, 1992.0466, 2]; [1992.0466, 1993.0466, 2]; [1993.0466, 1994.0466, 2]; [1994.0466, 1995.0466, 2]; [1995.0466, 1996.0466, 2]; [1996.0466, 1997.0466, 2]; [1997.0466, 1998.0466, 2]; [1998.0466, 1999.0466, 2]; [1999.0466, 2000.0466, 2]; [2000.0466, 2001.0466, 2]; [2001.0466, 2002.0466, 2]; [2002.0466, 2003.0466, 2]; [2003.0466, 2004.0466, 2]; [2004.0466, 2005.0466, 2]; [2005.0466, 2006.0466, 2]; [2006.0466, 2007.0466, 2]; [2007.0466, 2008.0466, 2]; [2008.0466, 2009.0466, 2]; [2009.0466, 2010.0466, 2]; [2010.0466, 2011.0466, 2]; [2011.0466, 2012.0466, 2]; [2012.0466, 2013.0466, 2]; [2013.0466, 2014.0466, 2]; [2014.0466, 2015.0466, 2]; [2015.0466, 2016.0466, 2]; [2016.0466, 2017.0466, 2]; [2017.0466, 2018.0466, 2]; [2018.0466, 2019.0466, 2]; [2019.0466, 2020.0466, 2]; [2020.0466, 2021.0466, 2]; [2021.0466, 2022.0466, 2]>",7,0.279188,0.326558,10.394661,3,0
De Wetenden,De Wetenden,"<[2010.0, Infinity]>",Book,2010,1996,Prose,Translation and Publication Support Programme + NL Fonds voor de Letteren,NA,2010,4,"<[1990.0466, 1991.0466, 4]; [1991.0466, 1992.0466, 4]; [1992.0466, 1993.0466, 4]; [1993.0466, 1994.0466, 4]; [1994.0466, 1995.0466, 4]; [1995.0466, 1996.0466, 4]; [1996.0466, 1997.0466, 4]; [1997.0466, 1998.0466, 4]; [1998.0466, 1999.0466, 4]; [1999.0466, 2000.0466, 4]; [2000.0466, 2001.0466, 4]; [2001.0466, 2002.0466, 4]; [2002.0466, 2003.0466, 4]; [2003.0466, 2004.0466, 4]; [2004.0466, 2005.0466, 4]; [2005.0466, 2006.0466, 4]; [2006.0466, 2007.0466, 4]; [2007.0466, 2008.0466, 4]; [2008.0466, 2009.0466, 4]; [2009.0466, 2010.0466, 4]; [2010.0466, 2011.0466, 4]; [2011.0466, 2012.0466, 4]; [2012.0466, 2013.0466, 4]; [2013.0466, 2014.0466, 4]; [2014.0466, 2015.0466, 4]; [2015.0466, 2016.0466, 4]; [2016.0466, 2017.0466, 4]; [2017.0466, 2018.0466, 4]; [2018.0466, 2019.0466, 4]; [2019.0466, 2020.0466, 4]; [2020.0466, 2021.0466, 4]; [2021.0466, 2022.0466, 4]>",5,0.282051,0.331364,54.131878,4,0
Avonturen in de alledaagse onwerkelijkheid,Avonturen in de alledaagse onwerkelijkheid,"<[2010.0, Infinity]>",Book,2010,1936,Prose,Translation and Publication Support Programme + Vlaams Fonds voor de Letteren,NA,2010,4,"<[1990.0466, 1991.0466, 4]; [1991.0466, 1992.0466, 4]; [1992.0466, 1993.0466, 4]; [1993.0466, 1994.0466, 4]; [1994.0466, 1995.0466, 4]; [1995.0466, 1996.0466, 4]; [1996.0466, 1997.0466, 4]; [1997.0466, 1998.0466, 4]; [1998.0466, 1999.0466, 4]; [1999.0466, 2000.0466, 4]; [2000.0466, 2001.0466, 4]; [2001.0466, 2002.0466, 4]; [2002.0466, 2003.0466, 4]; [2003.0466, 2004.0466, 4]; [2004.0466, 2005.0466, 4]; [2005.0466, 2006.0466, 4]; [2006.0466, 2007.0466, 4]; [2007.0466, 2008.0466, 4]; [2008.0466, 2009.0466, 4]; [2009.0466, 2010.0466, 4]; [2010.0466, 2011.0466, 4]; [2011.0466, 2012.0466, 4]; [2012.0466, 2013.0466, 4]; [2013.0466, 2014.0466, 4]; [2014.0466, 2015.0466, 4]; [2015.0466, 2016.0466, 4]; [2016.0466, 2017.0466, 4]; [2017.0466, 2018.0466, 4]; [2018.0466, 2019.0466, 4]; [2019.0466, 2020.0466, 4]; [2020.0466, 2021.0466, 4]; [2021.0466, 2022.0466, 4]>",7,0.282051,0.33868,238.572731,1,0
